,0,1,2,3
32,Acunetix - an Invicti company,https://acunetix.com/,<p>Acunetix provides a Web security scanner that focuses on detection of well-known and advanced exploitable vulnerabilities in Web applications.</p>,"<p>Cannon Place, 78 Cannon Street,</p><p>London, EC4N 6AF</p><p>UK</p>"
33,AdaptiveMobile,https://www.adaptivemobile.com/,"AdaptiveMobile provides carrier-grade mobile security threat detection, security intelligence, and security suite tools.","AdaptiveMobile Corporate Headquarters
Ferry House,
48-52 Lower Mount Street
Dublin 2
Ireland
Tel: +353 (1) 524 9000"
34,Ad Novum,https://www.adnovum.com/,"Ad Novum provides security engineering and development services, as well as offering security products such as the Nevis reverse proxy and WAF.","Ad Novum Informatik AG
Roentgenstrasse 22
8005 Zurich
Tel: +41 44 272 61 11"
35,ADT,https://www.adt.com/,"ADT provides a range of protection solutions, mostly for home security, but also includes a cyber security protection offer.","ADT Headquarters
1501 Yamato Road
Boca Raton, FL
33431"
36,Advent IM,https://www.advent-im.co.uk/,<p>Advent IM provides knowledge-based holistic information and physical security consulting and training services for enterprise customers in the UK.</p>,<p>Advent IM Headquarters 5 Coombs Wood Court Steel Park Road Halesowen West Midlands United Kingdom B62 8BF Tel: +44 0121 559 6699</p>
37,Adventium Labs,https://www.adventiumlabs.com/,Adventium solves hard problems in cyber security research and development (R&D) with emphasis on automated reasoning.,"Adventium Labs
111 Third Avenue South
Suite 100
Minneapolis, Minnesota 55401
Tel: (612) 843 – 4445"
38,Aegis Identity,https://zivaro.com,<p>Aegis Identity provides identity and access management solutions focused on the needs of the education marketplace.</p><p><br></p><p>Acquired by Zivaro JUL-2018</p>,"<p>Aegis Identity 750 West Hampden Avenue, #410 Englewood, Colorado 80110-2167 Tel: (303) 222 – 1060</p>"
39,Agari,https://www.agari.com/,"Agari enables businesses, including banks and social media networks, to secure their enterprise and customers from advanced email phishing attacks. ","Agari
950 Tower Lane
Foster City, California 94404
Tel: (650) 627-7667"
40,AgileBits,https://1password.com/,AgileBits provides a range of security applications for password protection.,"AgileBits
208 Adelaide Street West
Toronto, Ontario
M5H1W7, Canada"
41,AhnLab,https://global.ahnlab.com/site/main.do,"<p>AhnLab provides anti-virus and related security products for small, medium, and large enterprise customers, as well as consumers.</p>","<p>AhnLab Inc. 220, Pangyoyeok-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, Korea Tel: +82 31 722 8000</p>"
42,Ahope,http://ahope.net/main,<p>Ahope provides mobile security and network related products as well as consulting.</p>,"<p>1st Floor, Hotel Prince Annex, 11-8, 22gil Toegye-ro, Jung-gu, Seoul, South Korea Tel. +82.2.556.4801</p>"
43,Aimbrain (BIOCATCH),https://www.biocatch.com/biocatch-acquire-aimbrain,<p>Aimbrain provides strong authentication including biometric controls to reduce fraud.</p><p><br></p><p>Acquired by Biocatch Feb-2020</p>,"<p>Aimbrain London, England UK</p>"
44,Airbus Defence/Space,https://airbusus.com/communications-intelligence/,"<p>Airbus Defence and Space includes a communication, intelligence, and security division, which provides cyber security/information assurance-related services.</p>","<p>Airbus Group 4, rue du Groupe d’Or BP 90112 Blagnac Cedex, 31703 France</p>"
45,Akamai,https://www.akamai.com/,"Akamai provides content distribution networking (CDN), DDOS, and related security solutions for Internet-based web and application hosting sites.","Akamai Technologies, Inc.
150 Broadway Cambridge MA 02142"
46,Alcatraz AI,https://www.alcatraz.ai/,"Alcatraz AI replaces badging as an access point identification method by leveraging facial recognition, 3D sensing, and artificial intelligence to enable secure, frictionless entry into physical locations.","Alcatraz AI
490 California Ave, #400 
Palo Alto, CA 94306"
47,Alert Enterprise,https://www.alertenterprise.com/,"Alert Enterprise provides infrastructure protection through governance, risk, and compliance (GRC) management, situational awareness, and continuous monitoring.","Alert Enterprise Corporate Headquarters
4350 Starboard Drive
Fremont, California 94538
Tel: (510) 440 – 0840"
48,Alert Logic,https://www.alertlogic.com/,"Alert Logic provides a hosted “security as a service” platform that offers intrusion prevention, log management, and related protections for enterprise customers.","Alert Logic Inc.
1776 Yorktown, Suite 150
Houston, Texas 77056
Tel: (877) 484 – 8383"
49,Alertsec,https://www.alertsec.com/,Alertsec offers full disk encryption as a cloud service to ensure that only authorized users can access your computers.,"Alertsec Inc.
5 Loudon Street, SW
Suite 8
Leesburg, Virginia 20175
Tel: (888) 473 – 7022"
50,AlgoSec,https://www.algosec.com/,"AlgoSec provides a suite of enterprise firewall management tools for policy, configuration, and analysis of rules, configuration, and design.","AlgoSec Inc.
65 Challenger Rd, Suite 320 Ridgefield Park, NJ 07660 USA
Tel: +1 (888) 358 - 3696"
51,AllClear ID,https://www.allclearid.com/personal/,AllClear ID provides products and services that help protect people and their personal information from threats related to identity theft. AllClear ID is led by technology and customer service teams who advise companies on data breach response and support consumers who have become victims of identity theft.,"AllClear ID
Austin, Texas
United States"
52,Allegro Software,https://www.allegrosoft.com/,"<p>Allegro Software provides software resources to developers for embedded devices, with an emphasis on connectivity, device management, and IoT device security.</p>","<p>1740 Massachusetts Avenue </p><p>Boxborough, Massachusetts 01719 </p>"
53,Allgress,https://www.allgress.com/,"Allgress provides a suite of products and solutions focused on governance, risk, and compliance (GRC).","Allgress, Inc.
111 Lindbergh Avenue
Suite F
Livermore, California 94551
Tel: (925) 408 – 2602"
54,Allot Communications,https://www.allot.com/,"Allot Communications is a multinational with offices and subsidiaries in many countries across the world. Allot provides network monitoring, IP service optimization, network monetization, and security solutions.","Allot Communications
22 Hanagar Street, Industrial Zone B
Hod-Hasharon, 45240
Israel"
55,Allstream,https://www.allstream.com/,"Allstream is a Canadian telecommunications company offering a range of voice, IP, and unified communications, including managed security services.","Allstream Head Office
200 Wellington Street West, Suite 1400
Toronto, Ontario M5V 3G2
Tel: (416) 345 – 2000"
56,AllThatSoft (Out of Business),https://www.allthatsoft.com/,<p>AllThatSoft provides cyber security solutions for enterprise network and mobile applications.</p>,"<p>649 Mission Street, Suite #201 San Francisco, CA 94105 United States</p>"
57,Allure Security,https://www.alluresecurity.com/,"<p>Allure Security provides digital risk detection and response to address website spoofing, cloud-share storage and file sharing, and insider threats.</p>","<p>Allure Security 200 5th Avenue Waltham, MA 02451</p>"
58,AlphaGuardian,https://www.alphaguardian.net/,AlphaGuardian provides solutions for data center and infrastructure security management.,"AlphaGuardian
111 Deerwood, Suite 200
San Ramon, California 94583
Tel: (925) 421 – 0030"
59,Alpine Cyber Solutions,https://www.alpinecyber.com/,"Alpine Cyber Solutions offers cyber security services, security architecture, infrastructure engineering, and technical training for business customers.","Alpine Cyber Solutions
Pottstown, Pennsylvania 19465
Tel: (484) 791 – 2971"
60,Alta Associates,https://www.altaassociates.com/,Alta Associates provides executive search capabilities and support in the area of cyber security.,"Alta Associates
8 Bartles Corner Road #21
Flemington, New Jersey 08822
Tel: (908) 806 – 8442"
61,ALTR,https://www.altr.com/,"ALTR's programmable data security and governance embeds directly into application code, neutralizing privacy and breach risks from even the most privileged access.","ALTR
Austin, Texas"
62,Alus Outsourcing,https://www.alus.com.br/,Alus Outsourcing provides value added reseller (VAR) security solutions to customers in Brazil.,"Alus Outsourcing
Rua Major Quedinho 11, Conj 808
Cep: 01050-030
Centro Sao Paolo,
Brazil
Tel: +55 (11) 3256 4433
alus@alus.com.br"
63,Aman,http://www.aman.co.il/,"Aman provides enterprise solutions in many areas such as digital, knowledge mangement, and cyber security.","Aman
9 Shimshon Street
Petah Tikva 4952707"
64,Amazon Web Services,https://aws.amazon.com/,"Amazon Web Services (AWS) offers a range of cloud services, including virtualized security products arranged as a marketplace for users of AWS services. DRM protections are also available to secure content.","Amazon.com
1200 12th Avenue, South, Ste. 1200
Seattle, Washington 98144
Tel: (206) 266 – 1000"
65,Anchain.ai,https://www.anchain.ai,"<p>Anchain offers security threat intelligence solutions for crypto exchanges, blockchain, and other modern eCommerce environments.</p>","<p>San Jose, California</p>"
66,AnchorFree,https://www.pango.co,"<p>AnchorFree provides a virtual private network (VPN) for secure web browsing, especially in public WiFi hotspots.</p><p><br></p><p>ACQUIRED BY AURA REBRANDED TO PANGO Jul-2020</p>","<p><span style=""color: rgb(0, 0, 0);"">Redwood City, CA</span></p>"
67,Anitian,https://www.anitian.com/,<p>Anitian provides an automated cyber security compliance solution for cloud systems.</p>,"<p>8625 SW Cascade Ave. Suite 500 Beaverton, OR 97008</p>"
68,Anodot,https://www.anodot.com/,"Anodot provides a real time analytics and automated anomaly detection system that discovers outliers in vast amounts of data and turns them into valuable business insights. Analyzing the massive quantity of metrics generated by today’s businesses – manually or with traditional business intelligence tools – takes time and expertise. Using patented machine learning algorithms, Anodot isolates issues and correlates them across multiple parameters in real time, eliminating business insight latency and supporting rapid business decisions through its uncovered insights.","Anodot
13 HaSadna St
Ra’anana, Israel"
69,Anomali,https://www.anomali.com/,"Anomali, formerly Threat Stream, provides a threat intelligence platform that translates multi-source acquisition to actionable operations.","Anomali
808 Winslow St
Redwood City, California 94063
Tel: (844) 4-THREATS"
70,Anonymizer,https://ntrepidcorp.com,<p>Anonymizer provides personal VPN service for keeping on-line Internet access private.</p>,"<p>Anonymizer Inc. 9276 Scranton Road, #600 San Diego, California 92121 Tel: (800) 921 – 2414</p><p><br></p><p>Acquired by Ntrepid NOV-2010</p>"
71,Anonyome Labs,https://anonyome.com/,"Anonyome Labs is a privacy and anonymity company that creates fake online profiles for users, allowing them to browse, search, shop, and socialize anonymously.","Anonyome Labs
10 West 100 South, Ste 750
Salt Lake City, UT 84101"
72,Antiy Labs,https://www.antiy.net/,Antiy Labs provides an anti-virus SDK engine and next-generation anti-virus services for PC and mobile malware.,"Antiy Labs
P.O. Box 898
Harbin, 150001
China"
73,Aon,https://www.aon.com/cyber-solutions,"<p>Aon provides risk management and insurance brokerage services, including cyber insurance.</p>",<p>Aon Global Headquarters The Aon Centre The Leadenhall Building 122 Leadenhall Street London England</p>
74,APCON,https://www.apcon.com/,APCON provides network-monitoring solutions for data center security and optimization.,"APCON
9255 SW Pioneer Court
Wilsonville, Oregon 97070
Tel: (503) 682 – 4050"
75,Aperio Systems,https://www.aperio-systems.com/,Aperio provides industrial control system security through sensor data integrity.,"Boston, MA"
76,Apozy,https://www.apozy.com/,Apozy provides secure web browser isolation to support endpoint protection.,
77,Appdome,https://www.appdome.com/,Appdome is a mobile service company that implements mobile service SDK’s or API’s to mobile applications without adding code to the application.,"Appdome
3 Twin Dolphin Drive, Suite 375
Redwood City, CA 94065
Tel: (650) 567-6100"
78,AppGuard,https://www.appguard.us/,AppGuard is a security software company that develops security solutions for Windows platforms. These solutions detect attacks at their initial stages and has a light footprint in the Endpoint category.,"AppGuard
14120 Parke Long Court
Suite 103
Chantilly, VA 20151
Tel: (703) 786-8884"
79,Apple,https://www.apple.com/,"Apple integrates cyber security, especially mobile security, into its wide range of consumer and business products and services.","1 Infinite Loop
Cupertino, CA"
80,Applicure,https://www.applicure.com/,"Applicure Technologies develops the leading multi-platform web application security software products to protect web sites and web applications from external and internal attacks. Built upon years of research into hacker behavior, Applicure solutions feature a comprehensive knowledge base to identify attacks accurately, and stop them before they reach the website or application.","Applicure Technologies
4 HaRakun Ramat Gan
Israel"
81,Applied Control Solutions,https://www.realtimeacs.com/,"Applied Control Solutions provides technical consulting, books, and resources related to the cyber protection of industrial control, SCADA, and related operational technology-based systems and critical infrastructure.","Applied Control Solutions
joe.weiss@realtimeacs.com
Tel: (408) 253 – 7934"
82,Applied Magnetics Lab,https://www.appliedmagnetics.com/,Applied Magnetics Lab provides a range of data destruction products for hard drives and other media.,"Applied Magnetics Lab, Inc.
401 Manor Street, York, PA 17401
Tel (717) 430-2774"
83,Applied Risk,https://applied-risk.com/,"Applied Risk is focused on critical infrastructure security and combating security breaches that pose a significant threat. Operating on a global scale, they work with a wealth of large organisations that rely on expertise to safeguard their critical assets. Their proven experience of identifying vulnerabilities and security risks is based on methodologies honed over years of conducting assessments in industrial environments. Their engineering experience and cyber security knowledge proves invaluable in securing the critical infrastructures and industrial assets of companies across the globe.","Applied Risk BV
Teleportboulevard 110
1043 EJ Amsterdam"
84,ApplyLogic,https://www.applylogic.com/,"ApplyLogic provides IT, network, program management, and cyber security/information assurance services to Federal Government customers.","ApplyLogic Consulting Group LLC
8300 Greensboro Drive, Suite 800
McLean, Virginia 22102
Tel: (703) 794 – 2106"
85,AppSec Labs,https://www.appsec-labs.com/,"AppSec Labs provides application security services including design, analysis, training, and assurance.","AppSec Labs
Maanit St 10
Kfar Saba, 44288
Israel
Tel: +972 (0)9-7485005
info@AppSec-Labs.com"
86,AppsPicket (OUT OF BUSINESS),https://appspicket.com/,<p>AppsPicket provides multi-factor authentication solutions.</p>,
87,Apricorn,https://www.apricorn.com/,Apricorn provides hardware solutions for USB storage.,
88,Aqua Security,https://www.aquasec.com/,"<p>Aqua scans artifacts for vulnerabilities, malware, secrets and other risks during development and staging.</p>","<p>40 Tuval St.</p><p>Sapir Tower, 35th floor</p><p>Ramat Gan, Israel 5252247</p>"
89,ARAMA TECH,https://www.aramatech.com/,ARAMA TECH provides incident response services with emphasis on the IBM platform.,"ARAMA TECH
Wildenborchlaan 13
3207 ZA Spikenisse
The Netherlands
Tel: +31 10 3401964"
90,ARCON,https://www.arconnet.com/,<p>ARCON offers privileged access management solutions for enterprise customers.</p>,"<p>ARCON 901, Kamla Executive Park, Off Andheri-Kurla Road, JB Nagar, Andheri (E), Mumbai - 400059</p>"
91,Arctic Wolf Networks,https://www.arcticwolf.com/,Arctic Wolf Networks provides a concierge security-as-a-service (SaaS) cloud-based SIEM and incident response solutions for business customers.,"Arctic Wolf Networks, Inc.
111 West Evelyn Avenue
Suite 115
Sunnyvale, California 94086
Tel: (888) 272 – 8429"
92,Area 1 Security,https://www.area1security.com/,Area 1 Security is a start-up security focused on preemptive defense against targeted phishing attacks based on behavioral analysis.,"Area 1 Security
142 Stambaugh Street
Redwood City, California 94063"
93,Cloud Vector,https://www.cloudvector.com/,CloudVector (formerly Areca Bay) provides an API gateway security solution for cloud architectures.,
94,Argus Cyber Security,https://argus-sec.com/,Argus Cyber Security is an Israeli automotive cyber security company. They provide comprehensive solution suites to protect connected cars and commercial vehicles against cyber-attacks. Argus offers innovative security methods and proven computer networking know-how with a deep understanding of automotive best practices.,"Argus Cyber Security
Alon Towers 1, Yigal Alon 94 St, Tel Aviv-Yafo 6789155, Israel"
95,Aries Security,https://www.ariessecurity.com,<p>Aries provides training via its capture the flag platform for cyber range exercise.</p>,"<p>Wilmington, DE</p>"
96,AristotleInsight,https://aristotleinsight.com/,Aristotle Insight provides continuous diagnostics and monitoring for vulnerability management and compliance.,"Eric Anderholm, CEO of Sergeant Laboratories"
97,Armjisoft,https://www.armjisoft.com/,"Armjisoft provides a range of digital rights management (DRM) solutions for license protection, watermarking, and related protections.","Armjisoft Digital Rights Management Systems, Inc.
15 Cliff Street
New York, New York 10038
Tel: (347) 535 – 4451"
98,Armor,https://www.armor.com/,"Armor simplifies protecting data and applications in private, public, or hybrid clouds as well as help organizations comply with major regulatory frameworks and controls.","Armor
2360 Campbell Creek Boulevard
Suite 525
Richardson, Texas 75082
Tel: (877) 262 - 3473"
99,Digital.ai,https://www.digital.ai,"<p>Digital.ai (formerly Arxan Technologies) provides run-time application protection solutions against tampering, reverse engineering, malware insertion, and piracy on mobile, desktop, server, and embedded platforms.</p>","<p>5717 Legacy Drive, Suite 250, Plano, Texas, 75024, United States</p>"
100,Ascentor,https://www.ascentor.co.uk/,Ascentor provides information risk management (IRM) consulting services for business and government customers.,"Ascentor Ltd
5 Wheatstone Court, Davy Way
Waterwells Business Park,
Quedgeley, Gloucester,
Gloucestershire, GL2 2AQ
Tel: 01452 881712"
101,Asgent,https://www.asgent.com/,"Asgent provides network security and services for enterprise businesses, primarily in Japan.","Asgent, Inc.
6-4 Akashicho
Chuo-ku, Tokyo
104-0044
Japan
Tel: 81-3-6853-7401"
102,Ashton Search Group,https://www.ashtonsearchgroup.com/,Ashton Search Group provides technical and engineering search and recruiting with cyber security opportunities from the firm’s large defense client base.,"Ashton Search Group
17 Mill Neck Lane
Pittsford, New York
Tel: (585) 249 – 9674"
103,ASPG,https://www.aspg.com/,"Advanced Software Products Group (ASPG) provides a range of security products focused on mainframe systems, data security, and access management.","ASPG Inc. Corporate Headquarters
3185 Horseshoe Drive South
Naples, Florida 34104
Tel: (239) 649 – 1548"
104,Assevero,https://www.assevero.com/,"Assevero provides a range of information assurance, security recruiting, and security consulting services focused on government customers.","Assevero Security Consulting, LLC
1997 Annapolis Exchange Parkway, Suite 300
Annapolis, Maryland 21401
Tel: (855) 4ASSEVERO"
105,Assure Technical,https://www.assuretechnical.com/,Assure Technical provides a range of cyber and physical security consulting services including training.,"Assure Technical
Wyche Innovation Centre
Walwyn Road
Upper Colwall
Malvern WR13 6PL
United Kingdom
Tel: +44 (0) 1684 252 770"
106,Assured Information Security,https://www.ainfosec.com/,"Assured Information Security, Inc., a software company, focuses on critical air force and Department of Defense cyber technology research.","153 Brooks Road, Rome, NY 13441
Phone: 315.336.3306"
107,Assuria,https://www.assuria.com/,"Assuria provides security solutions, security software, and managed SIEM services supporting security operations and enterprise security needs.","Assuria Limited – UK Headquarters
Reading Enterprise Centre,
University of Reading,
Earley Gate, Whiteknights Road 
Reading, Berkshire
RG6 6BU, UK
Tel +44 (0) 118 935 7395 "
108,AssurIT,https://www.assuritconsulting.com/,AssurIT is an information technology (IT) services and solutions provider that specializes in cyber security consulting. The company is located in the Washington DC metropolitan area and serves both government and commercial clients.,"AssurIT Consulting Group
11325 Random Hills Road, Suite 360
Fairfax, Virginia 22030
Tel: (703) 225 – 3305"
109,Atar Labs,https://www.atarlabs.io/en/,"Atar Labs provides a security orchestration, automation, and response platform.","Burak Dayioglu, CEO"
110,Atlantic Data Forensics,https://www.atlanticdf.com,"Atlantic Data Forensics provides data forensics, eDiscovery, cybercrime, and expert testimony services.","Atlantic Data Forensics
7310 Esquire CT
Elkridge, MD 21075
Tel: (410) 540 – 9000"
111,Atomicorp,https://www.atomicorp.com/,Atomicorp provides advanced security compliance-oriented protections for Linux and Windows servers.,"Atomicorp
14121 Parke Long Ct., Suite 220
Chantilly, Virginia 20151
Tel: (703) 299 – 6667"
112,Atredis Partners,https://www.atredis.com/,"Atredis Partners provides software security research, embedded security, and penetration testing services.","Atredis Partners
St. Louis, Boston, Houston, Tulsa"
113,atsec,https://www.atsec.com/,atsec provides laboratory and consulting services in the area of information security.,"atsec information security corporation
9130 Jollyville Road, Suite 260
Austin, Texas 78759
Tel: (512) 615 – 7300"
114,AT&T,https://www.att.com/,<p>AT&amp;T is a major tier 1 global service provider offering a range of managed and network-based security services to business customers.</p>,"<p>AT&amp;T, 208 South Akard Street, Dallas, Texas 75202</p>"
115,Attack Research,https://www.attackresearch.com/,"<p>Attack Research (AR) is a boutique security firm located in Northern New Mexico which specializes in advanced information security, especially concerning targeted and sophisticated attacks.&nbsp;Rather than offering security-only focused solutions, AR works to understand the client’s business needs in order to tailor the best solution possible.</p>","<p>Attack Research 30 Bonnie View Drive Los Alamos, New Mexico 87544 Tel: (505) 672 – 6416 info@attackresearch.com</p>"
116,Attivo Networks,https://www.attivonetworks.com,"Attivo Networks empowers a proactive defense with deception-based threat detection, which includes automated attack analysis, forensics, and orchestration for accelerated incident response.
 ","Attivo Networks
46601 Fremont Blvd.
Fremont, California 94538
Tel: (510) 623 – 1000  
 "
117,Auconet,https://auconet.com/,Auconet provides a next-generation IT infrastructure management platform to support network access control (NAC).,"Auconet, Inc.
One Market St.
Spear Tower, 35th Floor
San Francisco, CA 94105

Tel: 415 855-1000"
118,Audit Square,https://www.auditsquare.com/,"Audit Square provides a Microsoft Windows security, configuration, and audit assessment tools for desktops and servers.","Audit Square – DCIT, a.s.
Kodanska 1441/46
100 10 Praha 10
Czech Republic
Tel: +420 234 066 115"
119,Aujas Networks,https://www.aujas.com/,"Aujas Networks provides security solutions and managed services in risk, data protection, and identity and access management.","Aujas Networks Pvt. Ltd.
#595, 4th Floor, 15th Cross
24th Main, 1st Phase, JP Nagar,
Bangalore – 560 078

Aujas Information Risk Services – East Coast
2500 Plaza 5, Harborside Financial Center
185 Hudson Street
Jersey City, New Jersey 07311
 Tel: (201) 633 – 4745"
